id,name,parent_id/id,type,user_type,reconcile
RJE,Chart of Account – RJE,,View,Root/View,0
BS,Statement of Financial Position,RJE,View,View,0
100000,สินทรัพย์,BS,View,View,0
110000,สินทรัพย์หมุนเวียน,100000,View,View,0
111000,เงินสดและรายการเทียบเท่าเงินสด,110000,View,View,0
111100,เงินสด,111000,View,View,0
111110,เงินสดย่อย,111100,Liquidity,Asset,0
111200,เงินฝากออมทรัพย์,111000,View,View,0
111210,เงินฝากออมทรัพย์-ธนาคารกรุงเทพ 847-3,111200,Liquidity,Asset,0
111220,เงินฝากออมทรัพย์-ธนาคารธนชาติ 025-8,111200,Liquidity,Asset,0
111300,เงินฝากกระแสรายวัน,111000,View,View,0
111310,เงินฝากกระแสรายวัน-นาคารไทยพาณิชย์ (167-1),111300,Liquidity,Asset,0
111320,เงินฝากกระแสรายวัน-ธนาคารกรุงไทย (231-5),111300,Liquidity,Asset,0
111330,เงินฝากกระแสรายวัน-ธนาคารกรุงเทพ (225-7),111300,Liquidity,Asset,0
111340,เงินฝากกระแสรายวัน-ธนาคารธนชาต (399-0),111300,Liquidity,Asset,0
111400,เงินฝากออทรัพย์,111000,View,View,0
111410,เงินฝากประจำ-ธนาคารไทยพาณิชย์ 029-2,111400,Liquidity,Asset,0
111420,เงินฝากประจำ-ธนาคารกรุงเทพ 160-5,111400,Liquidity,Asset,0
111430,เงินฝากประจำ-ธนาคารธนชาติ 950-5,111400,Liquidity,Asset,0
111500,ธนาคารรอการโอน,111000,View,View,0
111510,ธนาคารรอการโอน,111500,Regular,Asset,1
112000,เงินลงทุนชั่วคราว,110000,View,View,0
112100,ตั๋วสัญญาใช้เงิน,112000,Regular,Asset,0
112200,เงินลงทุนระยะสั้น,112000,Regular,Asset,0
112300,เงินลงทุนอื่น,112000,Regular,Asset,0
113000,ลูกหนี้การค้าและลูกหนี้อื่น,110000,View,View,0
113100,ลูกหนี้การค้า-ในประเทศ,113000,Receivable,Receivable,1
113200,ลูกหนี้การค้า-ต่างประเทศ,113000,Receivable,Receivable,1
113300,ลูกหนี้บริษัทที่เกี่ยวข้องกัน,113000,Regular,Asset,0
113400,ลูกหนี้อื่น,113000,Regular,Asset,0
113500,ค่าเผื่อหนี้สงสัยจะสูญ,113000,Regular,Asset,0
114000,สินค้าคงเหลือ,110000,View,View,0
114100,สินค้าคงเหลือ,114000,Regular,Asset,0
114200,วัตถุดิบคงเหลือ,114000,Regular,Asset,0
114300,วัสดุประกอบคงเหลือ,114000,Regular,Asset,0
114400,งานระหว่างทำคงเหลือ,114000,Regular,Asset,0
115000,เงินให้กู้ยืมระยะสั้น,110000,View,View,0
115100,เงินให้กู้ยืมระยะสั้นแก่พนักงาน,115000,Regular,Asset,0
115200,เงินให้กู้ยืมระยะสั้นแก่กรรมการและผู้ถือหุ้น,115000,Regular,Asset,0
115300,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,115000,Regular,Asset,0
115500,เงินให้กู้ยืมระยะสั้นอื่น,115000,Regular,Asset,0
116000,สินทรัพย์หมุนเวียนอื่น,110000,View,View,0
116100,ลูกหนี้กรมสรรพกร,116000,View,View,0
116110,ลูกหนี้กรมสรรพกร,116100,Regular,Asset,0
116200,เงินประกันและเงินมัดจำ,116000,View,View,0
116210,เงินประกัน,116200,Regular,Asset,0
116220,เงินประกันผลงานจ่าย,116200,Regular,Asset,0
116230,เงินมัดจำจ่าย,116200,Regular,Asset,0
116300,ภาษีอื่น,116000,View,View,0
116310,ภาษีซื้อ,116300,Regular,Input Tax,0
116320,ภาษีซื้อ ยังไม่ขอคืน,116300,Regular,Asset,0
116330,ภาษีซื้อ ยังไม่ถึงกำหนด,116300,Regular,Asset,0
